           #Fx:            Fy:
      -0.145595      0.0053729
      -0.144866     0.00538081
      -0.145145     0.00536935
      -0.144425     0.00537827
      -0.144697     0.00536731
       -0.14397     0.00537536
      -0.144259     0.00536344
      -0.143526     0.00537082
      -0.143819     0.00535961
      -0.143113     0.00536666
      -0.143426     0.00535578
      -0.142723     0.00536222
      -0.143037     0.00535113
      -0.142306     0.00535745
      -0.142601     0.00534717
      -0.141888     0.00535312
      -0.142211     0.00534253
      -0.141515     0.00534786
      -0.141859     0.00533671
      -0.141162     0.00534083
      -0.141492     0.00533105
      -0.140793     0.00533635
      -0.141127       0.005327
      -0.140426     0.00533134
      -0.140764     0.00532098
      -0.140067     0.00532378
      -0.140419      0.0053139
      -0.139752     0.00531751
      -0.140122     0.00530805
      -0.139442     0.00531135
      -0.139789     0.00530219
        -0.1391     0.00530498
      -0.139458     0.00529589
      -0.138788     0.00529891
      -0.139152     0.00528977
      -0.138488     0.00529185
      -0.138864     0.00528247
      -0.138217      0.0052845
      -0.138594     0.00527536
       -0.13793     0.00527804
      -0.138282     0.00526869
      -0.137622     0.00527089
      -0.137996     0.00526133
      -0.137361     0.00526339
      -0.137749     0.00525407
      -0.137118     0.00525641
      -0.137488     0.00524723
      -0.136851     0.00524942
      -0.137219     0.00524022
      -0.136588      0.0052418
       -0.13696     0.00523258
      -0.136338     0.00523396
       -0.13671     0.00522454
      -0.136102      0.0052257
      -0.136483     0.00521646
      -0.135879     0.00521718
      -0.136251     0.00520876
      -0.135643     0.00520977
      -0.136001     0.00520092
      -0.135396     0.00520098
      -0.135764     0.00519209
      -0.135187     0.00519073
       -0.13557     0.00518231
      -0.134995      0.0051816
      -0.135349     0.00517404
      -0.134761     0.00517301
      -0.135117     0.00516501
      -0.134556     0.00516299
      -0.134921     0.00515543
      -0.134363     0.00515266
      -0.134715     0.00514542
      -0.134166     0.00514276
      -0.134519     0.00513659
      -0.133986     0.00513292
      -0.134336     0.00512598
      -0.133798     0.00512145
      -0.134128     0.00511484
      -0.133599     0.00511061
      -0.133939     0.00510525
       -0.13344      0.0050998
      -0.133786     0.00509362
      -0.133283     0.00508742
      -0.133601      0.0050823
      -0.133102     0.00507692
      -0.133422     0.00507216
      -0.132941     0.00506554
      -0.133261      0.0050602
      -0.132787     0.00505375
      -0.133096      0.0050492
      -0.132635     0.00504306
      -0.132943     0.00503808
      -0.132492       0.005031
      -0.132795     0.00502625
      -0.132349     0.00501968
      -0.132633     0.00501518
      -0.132194     0.00500845
      -0.132483     0.00500302
      -0.132067     0.00499563
      -0.132358     0.00499075
      -0.131948     0.00498476
      -0.132217     0.00498007
      -0.131808     0.00497285
       -0.13207     0.00496773
      -0.131676     0.00496081
      -0.131939     0.00495648
      -0.131557     0.00494995
      -0.131811     0.00494453
       -0.13144     0.00493713
      -0.131691     0.00493234
      -0.131334     0.00492642
      -0.131572      0.0049227
      -0.131213      0.0049159
      -0.131434     0.00491075
      -0.131089     0.00490381
      -0.131315     0.00489879
      -0.130992     0.00489221
      -0.131212     0.00488823
      -0.130895     0.00488113
      -0.131101     0.00487609
      -0.130788     0.00486929
      -0.130979     0.00486502
      -0.130673     0.00485887
      -0.130863     0.00485471
      -0.130577     0.00484781
      -0.130765     0.00484268
      -0.130489     0.00483637
      -0.130665     0.00483257
      -0.130393     0.00482632
      -0.130557     0.00482189
      -0.130289     0.00481432
      -0.130442      0.0048099
      -0.130188     0.00480387
      -0.130342     0.00480038
      -0.130101     0.00479392
      -0.130251     0.00478951
      -0.130018     0.00478305
      -0.130151     0.00477913
      -0.129917     0.00477334
      -0.130038     0.00476995
      -0.129814     0.00476379
      -0.129935     0.00475855
      -0.129726     0.00475186
      -0.129842     0.00474809
       -0.12964     0.00474258
      -0.129746      0.0047389
      -0.129547     0.00473351
      -0.129636     0.00472895
      -0.129441     0.00472335
      -0.129528      0.0047195
      -0.129345     0.00471476
      -0.129429     0.00471041
      -0.129255     0.00470536
      -0.129329     0.00470071
      -0.129159     0.00469644
      -0.129224     0.00469275
      -0.129058     0.00468888
       -0.12911     0.00468418
      -0.128952     0.00467947
         -0.129     0.00467485
       -0.12885      0.0046714
      -0.128899     0.00466774
      -0.128757     0.00466483
      -0.128792     0.00465997
       -0.12865     0.00465634
      -0.128673     0.00465235
       -0.12854     0.00464986
      -0.128562     0.00464625
      -0.128438     0.00464319
      -0.128454     0.00463826
      -0.128335     0.00463546
      -0.128347     0.00463181
      -0.128234     0.00463054
      -0.128235     0.00462716
      -0.128125     0.00462384
       -0.12812     0.00461956
      -0.128015     0.00461759
      -0.128008     0.00461419
      -0.127912     0.00461368
      -0.127904     0.00461055
      -0.127816     0.00460812
        -0.1278     0.00460503
      -0.127712     0.00460329
       -0.12769     0.00460092
      -0.127607     0.00459963
      -0.127583     0.00459627
      -0.127507     0.00459505
      -0.127481     0.00459313
      -0.127413      0.0045917
      -0.127385     0.00459007
      -0.127319     0.00458911
      -0.127286     0.00458605
      -0.127222     0.00458416
      -0.127184      0.0045822
      -0.127125     0.00458129
      -0.127089     0.00458059
      -0.127037     0.00457968
      -0.127001      0.0045776
      -0.126951     0.00457611
      -0.126908     0.00457498
       -0.12686     0.00457381
      -0.126816      0.0045726
       -0.12677     0.00457088
      -0.126725     0.00456959
      -0.126685     0.00456839
      -0.126642     0.00456809
      -0.126606     0.00456749
       -0.12656     0.00456707
      -0.126522     0.00456551
      -0.126471     0.00456441
      -0.126433     0.00456303
      -0.126381      0.0045631
      -0.126346     0.00456233
      -0.126296     0.00456201
      -0.126267     0.00456007
      -0.126217     0.00455908
      -0.126186     0.00455812
      -0.126131     0.00455838
      -0.126099      0.0045566
       -0.12604     0.00455612
      -0.126008     0.00455433
      -0.125948     0.00455364
       -0.12592     0.00455185
      -0.125863     0.00455168
      -0.125836     0.00454943
      -0.125775     0.00454916
      -0.125745     0.00454804
       -0.12568     0.00454847
      -0.125647     0.00454716
      -0.125581     0.00454672
      -0.125553     0.00454432
      -0.125489     0.00454317
      -0.125462     0.00454119
      -0.125396     0.00454141
      -0.125364     0.00453921
      -0.125294     0.00453844
      -0.125261      0.0045364
       -0.12519     0.00453633
      -0.125156     0.00453449
      -0.125087     0.00453415
      -0.125054     0.00453185
      -0.124987     0.00453065
      -0.124955     0.00452785
      -0.124885     0.00452763
      -0.124848     0.00452587
      -0.124773     0.00452531
      -0.124733     0.00452353
      -0.124661     0.00452309
      -0.124625     0.00452028
      -0.124555     0.00452007
      -0.124519     0.00451798
      -0.124446     0.00451662
      -0.124407     0.00451341
      -0.124333     0.00451239
      -0.124293     0.00450981
      -0.124219     0.00450899
      -0.124179     0.00450664
      -0.124106     0.00450618
      -0.124068     0.00450329
      -0.123995     0.00450303
      -0.123956     0.00450101
      -0.123882      0.0045005
      -0.123841     0.00449778
      -0.123764     0.00449649
      -0.123722     0.00449364
      -0.123646     0.00449352
      -0.123608     0.00449156
      -0.123533     0.00449144
      -0.123495     0.00448859
      -0.123418     0.00448778
      -0.123377     0.00448525
        -0.1233     0.00448495
      -0.123259     0.00448268
      -0.123179     0.00448124
      -0.123138     0.00447938
       -0.12306     0.00447896
       -0.12302     0.00447738
      -0.122942     0.00447754
      -0.122903     0.00447618
      -0.122823     0.00447534
      -0.122782     0.00447316
        -0.1227      0.0044726
      -0.122655     0.00447145
      -0.122573     0.00447142
      -0.122532     0.00447025
      -0.122451     0.00447016
       -0.12241      0.0044686
      -0.122329     0.00446763
      -0.122285     0.00446666
      -0.122202      0.0044667
      -0.122155     0.00446565
       -0.12207     0.00446578
      -0.122023     0.00446582
       -0.12194     0.00446679
      -0.121894     0.00446671
      -0.121811     0.00446617
      -0.121764     0.00446532
      -0.121681     0.00446554
       -0.12163     0.00446605
      -0.121545     0.00446719
      -0.121491     0.00446799
      -0.121407     0.00446844
      -0.121355     0.00446776
      -0.121273     0.00446837
       -0.12122     0.00446873
      -0.121138     0.00447002
      -0.121084     0.00447151
         -0.121     0.00447412
       -0.12094     0.00447508
      -0.120856     0.00447587
      -0.120798     0.00447567
      -0.120721     0.00447722
      -0.120665     0.00447794
      -0.120586     0.00447866
      -0.120527     0.00447923
      -0.120453      0.0044818
      -0.120395     0.00448242
       -0.12032     0.00448109
      -0.120262     0.00447567
      -0.120201     0.00447036
      -0.120156     0.00446299
      -0.120102     0.00445251
      -0.120056     0.00443416
       -0.12001     0.00441014
      -0.119975     0.00437678
      -0.119938     0.00433349
      -0.119901     0.00427426
      -0.119859     0.00420093
      -0.119809     0.00410947
      -0.119739     0.00399692
      -0.119635     0.00385441
      -0.119492     0.00368401
       -0.11928     0.00348538
      -0.118985     0.00326007
      -0.118577      0.0030039
       -0.11806     0.00272553
      -0.117391     0.00243609
       -0.11657     0.00214935
      -0.115592     0.00187512
       -0.11453     0.00163849
      -0.113408     0.00146883
      -0.112296     0.00139786
      -0.111261     0.00144576
      -0.110481     0.00163982
      -0.110069     0.00200364
      -0.110136     0.00255338
      -0.110706     0.00328101
      -0.111864     0.00416936
      -0.113577     0.00518766
      -0.115755     0.00628984
      -0.118154     0.00740553
      -0.120579     0.00846216
      -0.122761     0.00938826
      -0.124473      0.0101207
      -0.125413      0.0105993
      -0.125427      0.0107871
      -0.124412      0.0106742
      -0.122456      0.0102826
      -0.119681     0.00965459
      -0.116398     0.00885928
      -0.112961     0.00798602
      -0.109845     0.00713773
      -0.107424     0.00640747
      -0.106037     0.00587386
      -0.105811      0.0055879
      -0.106754     0.00556756
      -0.108608     0.00578356
      -0.111007      0.0061678
      -0.113442      0.0066201
       -0.11548     0.00702526
      -0.116725     0.00726615
      -0.116989     0.00725221
      -0.116248     0.00693317
      -0.114738     0.00631518
      -0.112814     0.00545441
      -0.110948     0.00445765
       -0.10956     0.00346331
      -0.108994     0.00262229
       -0.10938       0.002061
      -0.110665     0.00186134
      -0.112588     0.00203627
      -0.114784      0.0025318
      -0.116829     0.00322508
      -0.118369     0.00395748
      -0.119178     0.00455838
      -0.119221      0.0048924
      -0.118628     0.00488028
      -0.117673     0.00452673
      -0.116701      0.0039139
      -0.116049     0.00319252
      -0.115971     0.00253732
       -0.11656     0.00211427
      -0.117735      0.0020291
       -0.11925     0.00230986
      -0.120774     0.00289001
      -0.121953     0.00362962
      -0.122534     0.00434525
      -0.122414     0.00486684
      -0.121697     0.00507643
      -0.120635     0.00494434
      -0.119589     0.00452989
      -0.118901     0.00397271
      -0.118814     0.00344503
      -0.119364     0.00310867
       -0.12039     0.00306118
      -0.121564     0.00331733
      -0.122521      0.0037987
      -0.122957     0.00436366
      -0.122756     0.00484603
      -0.121998     0.00512026
      -0.120947     0.00513091
      -0.119937     0.00491545
      -0.119275     0.00457979
      -0.119129     0.00426956
      -0.119493     0.00411274
      -0.120186     0.00418084
      -0.120927       0.004458
      -0.121435     0.00485447
      -0.121537     0.00523058
       -0.12121     0.00545742
      -0.120564     0.00545584
      -0.119805     0.00523677
      -0.119148     0.00488902
      -0.118762     0.00455655
      -0.118704     0.00437205
       -0.11893     0.00442046
      -0.119284     0.00469425
      -0.119585     0.00510564
      -0.119659     0.00550723
      -0.119436     0.00575646
      -0.118933     0.00576117
      -0.118281     0.00552719
      -0.117631     0.00514352
      -0.117155      0.0047605
